,tropopause_net
2023.7916666666488,-60.43006419853046
2023.874999999982,-43.67630598224767
2023.9583333333153,-34.21051811544177
2024.0416666666486,1.689137704461075
2024.1249999999818,-6.578918632404225
2024.208333333315,-14.686742883147076
2024.2916666666483,-16.075639405521713
2024.3749999999816,-12.34858300028938
2024.4583333333148,-37.84294085054219
2024.541666666648,-55.824149387255176
2024.6249999999814,-64.08863513367396
2024.7083333333146,-68.99335670136057
2024.7916666666479,-60.474860467427646
2024.8749999999811,-43.7213540154209
2024.9583333333144,-34.203510315712606
2025.0416666666476,
2025.124999999981,-6.612180151859405
2025.2083333333142,-14.752485705274296
2025.2916666666474,-16.101939377027463
2025.3749999999807,-12.35402071952899
2025.458333333314,-37.85918051357271
2025.5416666666472,-55.85096255963927
2025.6249999999804,-64.1054642245146
2025.7083333333137,-69.01110311977172
2025.791666666647,-60.49407064355037
2025.8749999999802,-43.75702451183594
2025.9583333333135,-34.30291785707419
