,tropopause_net
2004.0416666666667,
2004.125,
2004.2083333333333,
2004.2916666666665,
2004.3749999999998,
2004.458333333333,
2004.5416666666663,
2004.6249999999995,-64.2295507925285
2004.7083333333328,-69.13609343987684
2004.791666666666,-60.62618103790638
2004.8749999999993,-43.87883854972955
2004.9583333333326,-34.415861791451164
2005.0416666666658,1.4947716454255726
2005.124999999999,-6.764880108861888
2005.2083333333323,-14.86281466953136
2005.2916666666656,-16.24149368356433
2005.3749999999989,-12.497413743085332
2005.4583333333321,-38.00229837239243
2005.5416666666654,-55.97435413694927
2005.6249999999986,-64.2353741998451
2005.708333333332,-69.14460299058953
2005.7916666666652,-60.628549424551636
2005.8749999999984,-43.88885443986783
2005.9583333333317,-34.43036670518242
2006.041666666665,1.472340250671067
2006.1249999999982,-6.791066056035504
2006.2083333333314,-14.884337343499567
2006.2916666666647,-16.256817908667813
2006.374999999998,-12.511406494700395
2006.4583333333312,-38.01284778685181
2006.5416666666645,-55.98318606090197
2006.6249999999977,-64.24297661560692
2006.708333333331,-69.14531443244567
2006.7916666666642,-60.627516626950154
2006.8749999999975,-43.87206614147772
2006.9583333333308,-34.40803428763891
2007.041666666664,1.4916086013625431
2007.1249999999973,-6.768390682516809
2007.2083333333305,-14.862222528069793
2007.2916666666638,-16.237630141397403
2007.374999999997,-12.493734996441844
2007.4583333333303,-37.995564652012916
2007.5416666666636,-55.97200954327323
2007.6249999999968,-64.23300131987293
2007.70833333333,-69.13854239685443
2007.7916666666633,-60.62589432597798
2007.8749999999966,-43.88058153557094
2007.9583333333298,-34.4180975649285
2008.041666666663,1.4833581709512202
2008.1249999999964,-6.7787371493196815
2008.2083333333296,-14.87501426286147
2008.2916666666629,-16.249249818538402
2008.3749999999961,-12.504947077119681
2008.4583333333294,-38.00396483274261
2008.5416666666626,-55.983302355526206
2008.624999999996,-64.23377637732969
2008.7083333333292,-69.13424052811425
2008.7916666666624,-60.61241645113748
2008.8749999999957,-43.866021327001334
2008.958333333329,-34.40890152031082
2009.0416666666622,1.4968406386008724
2009.1249999999955,-6.772880624795704
2009.2083333333287,-14.865903682641687
2009.291666666662,-16.235650449493647
2009.3749999999952,-12.486411106225546
2009.4583333333285,-37.99232638921731
2009.5416666666617,-55.96833214973418
2009.624999999995,-64.22100444312645
2009.7083333333283,-69.12426190179872
2009.7916666666615,-60.609922136910996
2009.8749999999948,-43.86632842365432
2009.958333333328,-34.409087933260395
2010.0416666666613,1.492785367527631
2010.1249999999945,-6.770587158680428
2010.2083333333278,-14.863463125347863
2010.291666666661,-16.234002944951015
2010.3749999999943,-12.486590940231366
2010.4583333333276,-37.98947448944074
2010.5416666666608,-55.964921158338456
2010.624999999994,-64.21721286827284
