year,FFI,AFOLU
1750,0.00253983,0.003
1751,0.002567475,0.009
1752,0.002594205,0.015
1753,0.00262295,0.021
1754,0.002656545,0.027
1755,0.00267289,0.033
1756,0.002704671,0.039
1757,0.002754895,0.045
1758,0.002788307,0.051
1759,0.00282174,0.057
1760,0.002869632,0.063
1761,0.002933375,0.069
1762,0.002989137,0.075
1763,0.003054474,0.081
1764,0.00311053,0.087
1765,0.003177807,0.093
1766,0.003241288,0.099
1767,0.003316733,0.105
1768,0.003402548,0.111
1769,0.003488011,0.117
1770,0.003574568,0.123
1771,0.003648878,0.129
1772,0.003718206,0.135
1773,0.003768597,0.141
1774,0.003824349,0.147
1775,0.003913461,0.153
1776,0.003999488,0.159
1777,0.004082843,0.165
1778,0.004160339,0.171
1779,0.004239966,0.177
1780,0.004333713,0.183
1781,0.004430781,0.189
1782,0.00452537,0.195
1783,0.004656864,0.201
1784,0.004768311,0.207
1785,0.004903146,0.213
1786,0.005034797,0.219
1787,0.005147142,0.225
1788,0.005263709,0.231
1789,0.00542124,0.237
1790,0.005567165,0.243
1791,0.005712814,0.249
1792,0.005985048,0.255
1793,0.006085497,0.261
1794,0.006146194,0.267
1795,0.006090406,0.273
1796,0.006037493,0.279
1797,0.006028951,0.285
1798,0.006306203,0.291
1799,0.007501421,0.297
1800,0.008951515,0.303
1801,0.008729817,0.309
1802,0.011001767,0.315
1803,0.008061819,0.321
1804,0.008670627,0.327
1805,0.008529426,0.333
1806,0.008925934,0.339
1807,0.009880091,0.345
1808,0.009688261,0.351
1809,0.009916434,0.357
1810,0.010778469,0.363
1811,0.010965251,0.369
1812,0.011139335,0.375
1813,0.011246217,0.381
1814,0.01152474,0.387
1815,0.011896088,0.393
1816,0.012417188,0.399
1817,0.013448669,0.405
1818,0.014026204,0.411
1819,0.013900155,0.417
1820,0.013846363,0.423
1821,0.014208338,0.429
1822,0.014743917,0.435
1823,0.015381486,0.441
1824,0.015716058,0.447
1825,0.016575018,0.453
1826,0.016752765,0.459
1827,0.017941749,0.465
1828,0.018199178,0.471
1829,0.018097,0.477
1830,0.024287254,0.483
1831,0.022721317,0.489
1832,0.022404954,0.495
1833,0.022720782,0.501
1834,0.02422574,0.507
1835,0.026582859,0.513
1836,0.029174262,0.519
1837,0.028984558,0.525
1838,0.028887899,0.531
1839,0.029927138,0.537
1840,0.032425904,0.543
1841,0.033342125,0.549
1842,0.035313534,0.555
1843,0.036127017,0.561
1844,0.038746301,0.567
1845,0.042323527,0.573
1846,0.043040881,0.579
1847,0.046614834,0.585
1848,0.047391779,0.591
1849,0.050504376,0.597
1850,0.05372478,0.720144575
1851,0.054251787,0.769572695
1852,0.056658049,0.77988435
1853,0.059289566,0.793014093
1854,0.069606593,0.795533797
1855,0.071031619,0.785621435
1856,0.0759404,0.81028388
1857,0.076741552,0.805427085
1858,0.077933513,0.811906647
1859,0.082579742,0.829333668
1860,0.09069281,0.758962233
1861,0.095302995,0.75528421
1862,0.097159137,0.747939828
1863,0.103584849,0.738843395
1864,0.111770042,0.714713623
1865,0.118682132,0.701810485
1866,0.122561961,0.711822578
1867,0.131226503,0.701479895
1868,0.134960024,0.692865925
1869,0.143212626,0.705481707
1870,0.146321855,0.773785845
1871,0.15550671,0.779072422
1872,0.172205642,0.833109565
1873,0.182987776,0.813376272
1874,0.171578121,0.86736188
1875,0.185875541,0.890399705
1876,0.188477763,0.896118858
1877,0.192148707,0.868302513
1878,0.193681645,0.894354855
1879,0.207367465,0.89250771
1880,0.234185501,0.922575418
1881,0.242348518,0.921691985
1882,0.255973859,0.970698438
1883,0.272247423,0.949482728
1884,0.2754994,0.991334297
1885,0.277604954,0.991059195
1886,0.281826877,0.967614138
1887,0.29577716,1.007490138
1888,0.327729705,0.97336834
1889,0.327924736,1.003737088
1890,0.356602392,1.078145655
1891,0.373612338,1.135545535
1892,0.376585415,1.119496478
1893,0.371865452,1.170494323
1894,0.385243703,1.174718915
1895,0.408089203,1.17616945
1896,0.421577749,1.158464213
1897,0.441455458,1.2020653
1898,0.465600676,1.189119368
1899,0.508497649,1.21386755
1900,0.535341359,1.229829088
1901,0.55239187,1.237108585
1902,0.566266472,1.26288628
1903,0.617370679,1.254624412
1904,0.624320232,1.2770388
1905,0.665137031,1.317342845
1906,0.694455714,1.32022528
1907,0.791573329,1.29599799
1908,0.760285662,1.320642662
1909,0.791803285,1.349939267
1910,0.830602047,1.29554724
1911,0.843367392,1.317347713
1912,0.886047239,1.27898816
1913,0.959752449,1.232139017
1914,0.870574864,1.25447749
1915,0.857062373,1.24758414
1916,0.925756889,1.234349243
1917,0.968378362,1.24054938
1918,0.955154564,1.241400733
1919,0.82801293,1.223054047
1920,0.965566938,1.256419225
1921,0.847757677,1.320674313
1922,0.888226704,1.310744078
1923,1.007286494,1.33944994
1924,1.01058326,1.343149575
1925,1.02091526,1.342371828
1926,1.003659234,1.345604953
1927,1.095236732,1.355310478
1928,1.090696433,1.348251748
1929,1.170363376,1.335727297
1930,1.080266364,1.37015909
1931,0.965971708,1.415077373
1932,0.871340483,1.428330957
1933,0.91776294,1.445786565
1934,0.997867691,1.456818813
1935,1.046872967,1.435904907
1936,1.148452716,1.446663965
1937,1.227269483,1.46514269
1938,1.154372056,1.478736875
1939,1.220014922,1.462108093
1940,1.333150525,1.489720838
1941,1.364381203,1.56613063
1942,1.359859185,1.574575228
1943,1.385172817,1.56136008
1944,1.408975588,1.55523943
1945,1.170663944,1.553575873
1946,1.25779121,1.54136159
1947,1.409717655,1.538298912
1948,1.486868111,1.514818537
1949,1.420315318,1.494594877
1950,1.618516332,1.694066323
1951,1.741656336,1.790339472
1952,1.765136577,1.768037323
1953,1.815197933,1.798331875
1954,1.853037407,1.90514828
1955,2.031630949,1.944110765
1956,2.163213024,1.970387323
1957,2.234073358,1.998789435
1958,2.297267418,1.96269274
1959,2.416672802,2.113450873
1960,2.561956989,1.830242763
1961,2.56960757,1.861498605
1962,2.660285798,1.727810007
1963,2.802066651,1.681573285
1964,2.954275682,1.599023422
1965,3.086954269,1.535236493
1966,3.237621812,1.425446192
1967,3.339893362,1.474033853
1968,3.522184244,1.455350468
1969,3.755945767,1.59278707
1970,4.066354924,1.554067047
1971,4.231401397,1.396858585
1972,4.428110439,1.471222845
1973,4.662962036,1.43124242
1974,4.642759738,1.402401627
1975,4.654135543,1.380822075
1976,4.909692159,1.387600897
1977,5.048753881,1.504848328
1978,5.204500693,1.477362875
1979,5.351806848,1.27913548
1980,5.318920418,1.355767043
1981,5.191840824,1.31821517
1982,5.150408818,1.240093535
1983,5.183381668,1.305938035
1984,5.362391217,1.539051105
1985,5.543641275,1.444039308
1986,5.626354582,1.508508875
1987,5.799692849,1.457369903
1988,6.027600985,1.411295127
1989,6.109890142,1.35189318
1990,6.203326501,1.35824158
1991,6.328084454,1.35643488
1992,6.148518567,1.435046942
1993,6.210640554,1.357493797
1994,6.275367604,1.607362093
1995,6.422511739,1.48264461
1996,6.620678889,1.640975123
1997,6.659908764,2.021444815
1998,6.633126995,1.676981873
1999,6.78322262,1.63834922
2000,6.962487118,1.44574475
2001,7.015909784,1.300558948
