model,scenario,region,variable,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|Agriculture soils,Mt NO/yr,1.9065807,1.9206413,1.9601758,1.9826969,2.0513961,2.0608184,2.1220071,2.1575258,2.138019,2.2161515,2.2190995,2.2972553,2.31159,2.3640473,2.3386707,2.3637416,2.3894858,2.3806994,2.3542411,2.3493524,2.35127,2.3407135,2.336948,2.333543,2.336878,2.327795
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|Agriculture soils,Mt OC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|Agriculture soils,Mt SO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|BC|Aviation,Mt BC/yr,0.0090044895,0.008775195,0.008842023,0.008819102,0.009400248,0.009729793,0.009829395,0.010090665,0.010008963,0.0094498955,0.009901541,0.01016124,0.010314451,0.010418796,0.01047191,0.010563944,0.010680236,0.010748011,0.010840044,0.010932077,0.011049208,0.011116144,0.011208177,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|CH4|Aviation,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|CO|Aviation,Mt CO/yr,0.5293457,0.513133,0.50610733,0.5046077,0.5364758,0.5488769,0.54784286,0.5597362,0.5464741,0.51520085,0.5386081,0.55008787,0.56053185,0.56379604,0.56754583,0.5717444,0.5772411,0.5801415,0.58434,0.5885385,0.5940732,0.5969356,0.6011341,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|CO2|Aviation,Mt CO2/yr,657.3861,640.75256,646.38794,644.17834,685.9606,709.07715,715.00305,731.4642,721.5066,678.29474,709.1135,729.3493,739.3868,746.12384,749.6858,755.76373,763.55896,767.9196,773.99756,780.0755,787.9254,792.2313,798.30927,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|CO2_excl_short-cycle_org_C|Aviation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|CO2_short-cycle_org_C|Aviation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|N2O|Aviation,Mt N2O/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|NH3|Aviation,Mt NH3/yr,0.0021476573,0.0020934914,0.002115244,0.0021099723,0.0022509051,0.0023351507,0.0023611032,0.0024244788,0.0024080428,0.002275016,0.0023840684,0.0024478824,0.002484374,0.002510439,0.0025228602,0.0025452888,0.0025735048,0.0025901457,0.002612574,0.0026350026,0.0026634212,0.0026798595,0.002702288,,,
