year,LUH2-GCB2024,LUH2-CMIP6,LUH1-CMIP5
1700,0.005583132127012875,0.0037365154099761057,0.004390571845693827
1701,0.005456636485247278,0.003659236905684012,0.0042927708542339115
1702,0.005330126705761908,0.0035820050666646084,0.004194990010901547
1703,0.005203622543906959,0.0035047447515434028,0.004097209064471762
1704,0.005077133768221146,0.0034275021990680513,0.003999397787870697
1705,0.004950634987986928,0.003350216652182397,0.003901605552663372
1706,0.004824121810079807,0.003272951424802792,0.0038038127593834747
1707,0.004697619611636987,0.0031956920447212137,0.003706037999034575
1708,0.0045711078035094825,0.0031184051489717827,0.003608233195253469
1709,0.004444618296680097,0.0030411284716313283,0.0035104385853211755
1710,0.004315372194735038,0.00296259113303096,0.0034153381173922287
1711,0.00418340324339524,0.002882774678648765,0.0033229483532344777
1712,0.0040514046624922926,0.002802930116296493,0.003230552517934915
1713,0.003919410123903031,0.002723116713244962,0.003138153152934674
1714,0.0037874268871677264,0.0026433028182127364,0.003045766794416052
1715,0.0036554340554022092,0.002563467468810331,0.0029533559645308315
1716,0.0035234459414320084,0.0024836321857849395,0.002860947774881685
1717,0.003391463265185318,0.0024038139367129688,0.002768539057109407
1718,0.0032594856222972145,0.0023239857865910156,0.0026761317325914107
1719,0.0031274899884975067,0.002244114931658049,0.0025837244131504673
1720,0.0030077403717558107,0.002168825489926562,0.0025033476676544395
1721,0.0029002228598143357,0.0020980279316190637,0.0024350063095992516
1722,0.0027927057371195893,0.0020272083522247853,0.0023666365224107298
1723,0.002685190536819873,0.0019563893462554625,0.0022982622414601467
1724,0.002577671748675323,0.0018855661425483455,0.0022299179444162103
1725,0.0024701421182012633,0.0018147246465733107,0.0021615621269739345
1726,0.002362637637708343,0.0017439532294388446,0.0020931852623244083
1727,0.0022551222408384477,0.0016731143499300466,0.002024815521612245
1728,0.002147606677417341,0.0016023218552152184,0.001956459376414002
1729,0.002040086299810511,0.0015315252764003847,0.00188810514552703
1730,0.0019407025327944482,0.0014642550494857619,0.0018064622697427392
1731,0.0018494422180288187,0.0014004880472513227,0.0017115287165088925
1732,0.0017581903862779605,0.001336724809253338,0.0016166078707095738
1733,0.0016669388558740446,0.0012729529564271885,0.001521696486462164
1734,0.0015756799021628817,0.0012092154724632235,0.0014267584438440511
1735,0.0014844299673487458,0.001145488982131798,0.00133185385590749
1736,0.0013931801106047141,0.0010817385521116468,0.001236919882683957
1737,0.0013019180313468175,0.0010179954197689098,0.0011419825649307575
1738,0.0012106512062684829,0.0009542610644708552,0.0010470773449494015
1739,0.0011194087233342058,0.0008905188288588623,0.0009521493509182288
1740,0.0010234156081946964,0.0008183643023987841,0.0008616775085078392
1741,0.0009226960969266826,0.000737811931853514,0.0007756390494243734
1742,0.0008219620732511114,0.000657256081329903,0.0006896213410039812
1743,0.00072123657862452,0.0005766522189314167,0.0006035803534353426
1744,0.0006205117374499886,0.0004961151365995975,0.0005175441154639879
1745,0.0005198055301305798,0.00041550195282862457,0.00043151624557985366
1746,0.0004190704888885876,0.00033493344133640827,0.0003454811499482951
1747,0.0003183519920245199,0.0002543837949595002,0.0002594530833215325
1748,0.00021762556420757448,0.00017380053738235308,0.00017340681810448577
1749,0.00011690189781811827,9.322356233454274e-05,8.738836857228181e-05
1750,0.0,0.0,0.0
1751,-0.00013306411393583368,-0.00010589979196367849,-8.873097323982825e-05
1752,-0.000266128673328026,-0.00021178945665698465,-0.0001774409169288628
1753,-0.00039921571146874624,-0.0003176943981591329,-0.0002661724307855677
1754,-0.0005322826559130369,-0.0004235819392424838,-0.0003549098704663676
1755,-0.0006653666273698175,-0.0005294786789627358,-0.00044363146369443847
1756,-0.0007984243737836501,-0.0006353822380103176,-0.0005323651922752704
1757,-0.000931491979907051,-0.0007412380501773185,-0.0006210910747323639
1758,-0.0010645767042604668,-0.0008471399775919166,-0.0007098093956579801
1759,-0.0011976419309556946,-0.0009530167995936422,-0.0007985302063751805
1760,-0.0013364374205238067,-0.001062009647194487,-0.0008865942125631903
1761,-0.0014809561329924119,-0.001174021244205764,-0.0009740171043896069
1762,-0.0016254869377606682,-0.0012860817910271384,-0.001061412383358511
1763,-0.0017700034032638427,-0.0013981010054071837,-0.0011488178989880575
1764,-0.001914519063235663,-0.0015101494892173707,-0.0012362251521335842
1765,-0.0020590380671232883,-0.0016221936073144603,-0.0013236381033685653
1766,-0.002203560779226079,-0.0017342266634902024,-0.0014110358340028398
1767,-0.002348072573633527,-0.0018462727795003388,-0.001498456791059283
1768,-0.002492599086002556,-0.0019582843960464797,-0.0015858517999535616
1769,-0.002637121902338461,-0.0020703184598208457,-0.0016732621494949227
1770,-0.0027969503178968216,-0.0021957558876546644,-0.0017743949098611796
1771,-0.002972138726386704,-0.002334553169728759,-0.001889267566933333
1772,-0.003147309986309331,-0.002473354568610103,-0.00200414023293044
1773,-0.0033224792564337134,-0.0026121646283262336,-0.0021190006370787468
1774,-0.0034976549805368047,-0.002750973834499553,-0.002233871529237898
1775,-0.003672807266770863,-0.0028897707398809597,-0.002348742819739052
1776,-0.0038479898534529845,-0.0030285742261543618,-0.002463632893526818
1777,-0.004023149642653333,-0.003167369583012601,-0.0025785241160566894
1778,-0.004198333251301048,-0.0033061966679432506,-0.002693382872602529
1779,-0.004373510042366096,-0.0034449594110336325,-0.0028082485060666384
1780,-0.004541226899163651,-0.0035844773539389758,-0.002915083550987394
1781,-0.0047015137133034415,-0.0037247175078138147,-0.0030139179724431417
1782,-0.004861800781493786,-0.0038648662917681407,-0.003112740915205422
1783,-0.005022075151332765,-0.004005050686803851,-0.003211568765861777
1784,-0.005182364554232323,-0.0041452570133663855,-0.0033104068153899605
1785,-0.005342655705787598,-0.0042854432116192125,-0.0034092476089511038
1786,-0.005502931931496905,-0.004425670125642016,-0.003508066323530595
1787,-0.0056632210691249536,-0.004565847616663644,-0.0036068889688556783
1788,-0.005823495806193513,-0.004706005010584034,-0.003705732613648945
1789,-0.005983783249596388,-0.004846227862527203,-0.003804553332236227
1790,-0.006164276291752675,-0.005009012257164533,-0.0039157784523581
1791,-0.0063649541287213104,-0.0051943167174790675,-0.004039401565986885
1792,-0.006565627476370354,-0.00537965517466524,-0.004163025522786276
1793,-0.006766303296355403,-0.005565004632241531,-0.00428663807810587
1794,-0.006966966415778346,-0.005750320115617652,-0.004410269045485975
1795,-0.00716765527611839,-0.005935669999952247,-0.00453390549487592
1796,-0.0073683392025617475,-0.0061210132158197855,-0.004657522483158805
1797,-0.007569018534009213,-0.006306339200418282,-0.00478115791937518
1798,-0.007769696854536495,-0.006491685331962755,-0.004904761902799601
1799,-0.007970377596720713,-0.006677046321364163,-0.005028406525683337
1800,-0.008217170012544772,-0.00691253773488439,-0.0051691393584183
1801,-0.008510090107958957,-0.007198250095358347,-0.00532694732614452
1802,-0.008803009879279332,-0.007483978665778414,-0.005484801054297934
1803,-0.00909592083138662,-0.007769663945491459,-0.005642639029340816
1804,-0.009388837575196768,-0.008055376578953045,-0.005800493858948139
1805,-0.009681751362804686,-0.008341057844778012,-0.005958338799190059
1806,-0.009974668057399005,-0.008626776236151979,-0.006116172512554402
1807,-0.010267572519129518,-0.008912478268804591,-0.006273991875291292
1808,-0.010560490751309912,-0.009198183710967305,-0.006431829514224382
1809,-0.010853407141825146,-0.009483913256115363,-0.006589689056144936
1810,-0.011159226080450994,-0.009822645933378863,-0.006761299216335715
1811,-0.011477913033547723,-0.010214486348960822,-0.0069466343362289676
1812,-0.011796623901645226,-0.010606303468439757,-0.007132002345744098
1813,-0.012115340046409056,-0.010998149605414238,-0.0073173611150840045
1814,-0.012434050568272839,-0.011390000130635085,-0.007502720105940266
1815,-0.012752753327452978,-0.011781828530601477,-0.007688080099734444
1816,-0.01307144742628108,-0.012173709643260632,-0.007873463065271548
1817,-0.013390155609177057,-0.012565532978093158,-0.008058824195846541
1818,-0.01370886523796614,-0.01295734826137098,-0.008244184361828824
1819,-0.014027561328760419,-0.013349165279039723,-0.008429530622171371
1820,-0.014382891818308841,-0.013731691691366794,-0.0086690601440177
1821,-0.014774853230104407,-0.014104953473956338,-0.008962750841229028
1822,-0.01516679760360044,-0.014478229010123252,-0.009256449147214896
1823,-0.015558742061512018,-0.014851440161720776,-0.009550123980937873
1824,-0.015950698118649007,-0.015224706940819042,-0.009843796597672611
1825,-0.01634264580643409,-0.015597931184739912,-0.010137510083329138
1826,-0.01673459754098682,-0.01597116432333512,-0.0104312040006197
1827,-0.01712654976514839,-0.01634439182432149,-0.01072488917397701
1828,-0.017518485301421246,-0.016717661765805455,-0.011018587895444258
1829,-0.01791043641990899,-0.017090871027817194,-0.011312256106155038
1830,-0.01838475187063905,-0.01757648581457295,-0.011704747770954076
1831,-0.018941407565542846,-0.01817442869020531,-0.01219606005241878
1832,-0.01949805478154124,-0.0187723951932476,-0.012687378042619768
1833,-0.020054715939677777,-0.019370328991899576,-0.013178682447176834
1834,-0.02061135906418906,-0.019968232226548564,-0.013670017019491535
1835,-0.02116801893668266,-0.020566171771777875,-0.014161326256710283
1836,-0.021724665852137132,-0.021164136111221827,-0.014652634419070368
1837,-0.022281316929614072,-0.021762087199418884,-0.015143968212687797
1838,-0.022837977558615143,-0.022360017283565303,-0.01563525645516078
1839,-0.023394634955414745,-0.022957941812139997,-0.016126567557070384
