,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
1750.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02159121,0.2349439959988206,0.0,0.0,0.0,0.0,0.2565352059988206,0.0,0.2565352059988206,0.0,0.0
1751.5,0.0014172921112884,0.0005083303609513,7.447998437287891e-05,0.0006308800118371,0.003830106252043,-0.000441436160189,0.0,-0.0001027476975781,-0.0003735479174186,3.447967626648758e-05,0.00078002934,0.2434535842649035,0.0044609862638801,0.0005828111411251383,7.95800959445302e-10,0.005577837417374426,0.249811451022278,-0.0004418159387302124,0.2442336136049036,0.0020001032524135385,0.0035777341649608878
1752.5,0.0028342465443867,0.0010163534983993,0.0001489516272727,0.0011555325725892,0.0055754332059953,-0.0004095378294769,0.0,-0.0002082778153456,-0.0004981963309232,6.895935253297516e-05,-0.009079541,0.2407772848676302,0.0067309657785845,0.0011653067172739187,1.591601918863499e-09,0.009683466417032396,0.24138121028466256,-0.0006375147937358247,0.23169774386763015,0.003999553261660619,0.005683913155371778
1753.5,0.0042508634756802,0.0015240699051992,0.0002234149335544,0.0006374309276793,0.0038590068802683,-0.0001488165134373,0.0,-0.0003164581998027,-0.0003736060615026,0.0001034390287994,-0.023619287,0.0960836543235816,0.0044964378079476,0.0017474872261564781,2.387402878335906e-09,0.00975934676384108,0.08222371408742268,-0.0005866252325059,0.07246436732358161,0.005998350701836678,0.0037609960620044016
1754.5,0.0056671430814174,0.0020314800728868,0.0002978699080647,-0.0005310383290859,-0.0009761265788652,0.0007464169638819,0.0,-0.0004272918612287,5.401428737235632e-05,0.0001379187050659,-0.042745605,-0.0280373025970725,-0.0015071649079511,0.0023293531641553375,3.183203837781208e-09,0.007000389432713095,-0.06378251816435941,-0.00023535886879044366,-0.07078290759707251,0.007996496245572738,-0.0009961068128596434
1755.5,0.007083085537701,0.0025385844916841,0.0003723165556392,0.000479027661917,0.0001562224820864,0.0010371090274779,0.0,-0.0005407792355225,5.873860832577515e-05,0.0001723983813324,-0.052807983,0.108280664464015,0.0006352501440034,0.0029109050263280973,3.979004797199405e-09,0.011356707489646074,0.06682938895366108,-0.00030964224586432483,0.05547268146401501,0.009993990564029097,0.001362716925616977
1756.5,0.0084986910205032,0.0030453836505032,0.0004467548811056,0.0004822641368155,0.003795751136419,0.0002077680955455,0.0,-0.0006568624758357,-0.0003982967901058,0.0002068780575989,-0.05380642,-0.0313282360174019,0.004278015273234501,0.0034921433064145566,4.774805756671812e-09,0.01562833648735516,-0.06950631953004674,-0.0008482812083425999,-0.0851346560174019,0.011990834326917757,0.003637502160437402
1757.5,0.0099139597056567,0.0035518780369525,0.000521184889281,2.7192664331206585e-05,-0.0054374543961567,0.0027551297854158,0.0,-0.0007755289067243,0.000820756321508,0.0002413577338654,-0.029968726,0.1937690202571081,-0.005410261731825493,0.0040730684968402165,5.570606716144219e-09,0.011618481404736323,0.17541877566184444,0.0002865851486491,0.16380029425710813,0.013987028202496917,-0.0023685467977605946
1758.5,0.0113288917688531,0.0040580681373404,0.0005956065849752,0.0002328090380468,-0.0020102046761776,0.002334504399756,0.0,-0.0008967418885482,0.0004093226029331,0.0002758374101319,-0.009531958,0.2375594100762131,-0.0017773956381308,0.004653681088723275,6.366407675562416e-09,0.016328099743718377,0.24435555181993146,-0.00021158187548320006,0.22802745207621308,0.015982572857576375,0.0003455268861420023
1759.5,0.0127434873856498,0.0045639544366805,0.0006700199729862,-0.0001038926034003,-0.002647808901279,0.0021022064415472,0.0,-0.0010204715675305,0.0003654487531911,0.0003103170863983,-0.0017004639,0.2407449710081271,-0.0027517015046793,0.005233981571875336,7.162208635007718e-09,0.016983268166451935,0.25602777527457904,-0.0003447057279411001,0.2390445071081271,0.017977468957525135,-0.0009942007910732006
1760.5,0.0141577467314682,0.005069537418697,0.0007444250581041,-0.0010371089789465,-0.0055869597917865,0.0024762849790483,0.0,-0.0011529443512736,0.0005344381785049,0.0003447967626648,0.0044305664,0.0868996653397796,-0.006624068770733,0.005813970434810693,7.95800959445302e-09,0.015550223964490295,0.1068804557042699,-0.00027370941010389997,0.09133023173977961,0.019971717166278893,-0.004421493201788598
1761.5,0.0155716699815848,0.0055748175658286,0.0008188218451105,-0.0001916894751996,-0.0051028097149441,0.0031602804917521,0.0,-0.0012941024557611,0.0006954880217774,0.0003792764389313,0.023978101,-1.2294245478251693,-0.0052944991901437005,0.006393648164749654,8.753810553871217e-09,0.019611761452890453,-1.185834685372279,-0.0002193379950523999,-1.2054464468251695,0.021965318146334453,-0.002353556693444
1762.5,0.0169852573111462,0.006079795359234,0.0008932103387766,-0.0002811696754926,-0.0015134416684855,0.0020684211646216,0.0,-0.0014376824045534,0.0001523406970649,0.0004137561151978,0.00691106,-0.5353117062139818,-0.0017946113439781,0.006973015247622113,9.549611513343624e-09,0.023360496787121116,-0.5050401494268607,-0.0008715855922906998,-0.5284006462139819,0.023958272558768312,-0.0005977757716471958
1763.5,0.0183985088951608,0.0065844712787963,0.0009675905438648,-0.0001749492724884,-0.0019388005809664,0.0025806408406006,0.0,-0.0015837029128298,0.000242396387451,0.0004482357914643,-0.00932915,0.0306024689303956,-0.0021137498534548,0.007552072168073573,1.0345412472788926e-08,0.025524401316465672,0.046797720246861275,-0.0008930707339145,0.021273318930395604,0.025950581063234373,-0.0004261797467687012
