year,stratospheric_AOD,volcanic_ERF
-499.5,0.002852794027144317,0.2011488956754651
-498.5,0.0028693242964110154,0.2008182902901311
-497.5,0.0028956201476519113,0.20029237326531324
-496.5,0.002905395713724743,0.2000968619438566
-495.5,0.002908722524421413,0.2000303257299232
-494.5,0.0029098421810052825,0.20000793259824579
-493.5,0.002910218445612086,0.2000004073061097
-492.5,0.0029103449167558575,0.19999787788323428
-491.5,0.002910387430356554,0.1999970276112204
-490.5,0.002910401815434826,0.1999967399096549
-489.5,0.08177474270575412,-1.3772900778967305
-488.5,0.057416809323981334,-0.890131410261275
-487.5,0.022494288343080718,-0.1916809906432628
-486.5,0.009546777688775323,0.06726922244284496
-485.5,0.0134905899261641,-0.011607022304930562
-484.5,0.009428506887222928,0.06963463847389287
-483.5,0.005234664111780534,0.15351149398274075
-482.5,0.0036972793942663153,0.18425918833302513
-481.5,0.003175006173329611,0.1947046527517592
-480.5,0.002999302786091149,0.19821872049652844
-479.5,0.0029402699804805745,0.19939937660873994
-478.5,0.002920439775996967,0.1997959806984121
-477.5,0.0029137785569225793,0.19992920507989984
-476.5,0.0340015482768754,-0.42182618931915655
-475.5,0.024397109729113572,-0.22973741836392
-474.5,0.010630146458260306,0.04560184705314527
-473.5,0.005526378613386906,0.14767720395061332
-472.5,0.0037901789452698155,0.18240119731295512
-471.5,0.0032059805474527747,0.1940851652692959
-470.5,0.0030096968045280046,0.19801084012779133
-469.5,0.002943761078888056,0.19932955464059032
-468.5,0.002921612512512571,0.19977252596810002
-467.5,0.0029141724097373404,0.19992132802360466
-466.5,0.0029116731679522377,0.1999713128593067
-465.5,0.002910833823722767,0.19998809974389611
-464.5,0.0029105517044304037,0.19999374212974338
-463.5,0.08042208868680635,-1.3502369975177757
-462.5,0.05648087169900279,-0.8714126577617041
-461.5,0.022157580218641285,-0.18494682815447425
-460.5,0.009432666088083472,0.06955145445668197
-459.5,0.005103893745529221,0.15612690130776705
-458.5,0.0036473423938087005,0.18525792834217744
-457.5,0.0031579585619738587,0.19504560497887424
-456.5,0.002993563955759357,0.19833349710316428
-455.5,0.00293834181917167,0.19943793983491806
-454.5,0.0029197921043009017,0.1998089341323334
-453.5,0.0029135608442904175,0.1999335593325431
-452.5,0.0029114678467009,0.1999754192843334
-451.5,0.0029107644135753234,0.19998948794684498
-450.5,0.0029105283275702013,0.1999942096669474
-449.5,0.0029104492935179724,0.19999579034799198
-448.5,0.0029104227851781926,0.19999632051478758
-447.5,0.0029104137174368818,0.19999650186961382
-446.5,0.0029104102667931366,0.19999657088248876
-445.5,0.0029104094649550463,0.1999965869192505
-444.5,0.0029104094649550463,0.1999965869192505
-443.5,0.0029104094649550463,0.1999965869192505
-442.5,0.0029104094649550463,0.1999965869192505
-441.5,0.0029104094649550463,0.1999965869192505
-440.5,0.0029104094649550463,0.1999965869192505
-439.5,0.0029104094649550463,0.1999965869192505
-438.5,0.0029104094649550463,0.1999965869192505
-437.5,0.0029104094649550463,0.1999965869192505
-436.5,0.0029104094649550463,0.1999965869192505
-435.5,0.0029104094649550463,0.1999965869192505
-434.5,0.0029104094649550463,0.1999965869192505
-433.5,0.0029104094649550463,0.1999965869192505
-432.5,0.05517530700207595,-0.8453013638231676
-431.5,0.039032382103338654,-0.5224428658484216
-430.5,0.01588864284019213,-0.05956808058549118
-429.5,0.00730832235385109,0.11203832914132962
-428.5,0.014094380931301513,-0.02368284240767886
-427.5,0.010112931978118262,0.05594613665598619
-426.5,0.005486463769434783,0.1484755008296558
-425.5,0.0037828566514703193,0.18254764318894504
-424.5,0.4461589346050574,-8.664973915882799
-423.5,0.32808502546716684,-6.303495733124984
-422.5,0.12524807432546506,-2.2467567102909496
-421.5,0.04445947793055812,-0.6309847823928108
-420.5,0.01688786204652042,-0.07955246471205697
-419.5,0.00760652749978822,0.10607422622258705
-418.5,0.004487928961333717,0.1684461969916771
-417.5,0.0034403174330194246,0.18939842755796296
-416.5,0.0030884112439353325,0.19643655133964477
-415.5,0.0029702020547323917,0.19880073512370364
-414.5,0.0029304943200854183,0.19959488981664308
-413.5,0.002917155628857651,0.1998616636411984
-412.5,0.002912675272445285,0.19995127076944577
-411.5,0.002911169950693607,0.1999813772044793
-410.5,0.0029106645503141327,0.1999914852120688
-409.5,0.0029104950325377255,0.1999948755675969
-408.5,0.0029104379370598807,0.19999601747715387
-407.5,0.0029104186394291547,0.19999640342976832
-406.5,0.0029104120587677015,0.19999653504299741
-405.5,0.0029104097674679933,0.1999965808689916
-404.5,0.0029104094649550463,0.1999965869192505
-403.5,0.0029104094649550463,0.1999965869192505
-402.5,0.0029104094649550463,0.1999965869192505
-401.5,0.0029104094649550463,0.1999965869192505
-400.5,0.0029104094649550463,0.1999965869192505
-399.5,0.0029104094649550463,0.1999965869192505
-398.5,0.0029104094649550463,0.1999965869192505
-397.5,0.0029104094649550463,0.1999965869192505
-396.5,0.0029104094649550463,0.1999965869192505
-395.5,0.0029104094649550463,0.1999965869192505
-394.5,0.04694778255972754,-0.6807508749761996
-393.5,0.033338036670274844,-0.4085559571871455
-392.5,0.013842183650476654,-0.018638896791181678
-391.5,0.006614834254686028,0.12590809112463086
-390.5,0.1219342777686203,-2.180480779154054
-389.5,0.08472934338153064,-1.4363820914122611
-388.5,0.03229734108977482,-0.3877420455771448
-387.5,0.012868304323061464,0.0008386897571222261
-386.5,0.006259307998578369,0.13301861624678402
-385.5,0.0040355198059363875,0.17749438009962368
-384.5,0.0032883544733996995,0.19243768675035744
-383.5,0.015142425461853562,-0.0446437330187198
