,DM,C,CO2,CO,CH4,NMHC,H2,NOx,N2O,PM2.5,TPM,TPC,OC,BC,SO2,C2H6,CH3OH,C2H5OH,C3H8,C2H2,C2H4,C3H6,C5H8,C10H16,C7H8,C6H6,C8H10,Toluene_lump,Higher_Alkenes,Higher_Alkanes,CH2O,C2H4O,C3H6O,NH3,C2H6S,HCN,HCOOH,CH3COOH,MEK,CH3COCHO,HOCH2CHO,NMVOC
1997,6058.807069913152,3031.9920689487426,10095.25677545384,587.774971548467,35.78176745697566,20.67546381804852,14.395116951899087,18.032902504957956,1.2182886128990578,49.85370859446008,65.84588294228092,26.3130128959798,23.97278540981032,2.2957107842399265,2.9112892249099884,4.4313926180322465,16.703195824934443,0.19379095252120043,0.8110869641259733,1.5416997429371353,7.3017088634053895,6.726581912440032,1.7554004584924954,1.2618705598091073,2.2293825624609465,4.444715452449488,0.3810293187684303,6.389004209108775,1.252817801346234,0.5498506386430448,7.1926827179955755,7.533706277597372,2.863613304609446,6.01092668095427,0.009514365829493244,9.949764764460978,2.5260908051307087,26.643206717056504,2.0480894152107316,4.422929277338665,2.9611695253264085,122.12429505003082
1998,5951.100422109307,2892.8967947378187,9808.624435169508,473.4716338175673,19.868629397703767,24.93929974047492,12.5282475993317,19.06380146871181,1.2935322739091906,50.78769908754148,64.40652311261134,26.149841967254304,23.502211231167667,2.60039960309111,3.24731871283712,4.858819512492898,10.573666781283162,0.19208795800263337,0.9427515652997934,1.606113501216131,5.8896819028392695,4.784835245537103,0.5828806132188205,2.103113627588897,1.0447416846731847,2.1053496571785626,0.3552967485317235,3.2147157934776383,1.217259420594256,0.6790521083937838,6.885901276191927,4.927354740707394,2.049158952934746,6.168595684005975,0.010950382072675463,3.4517383979427976,2.425341038430427,21.957846833074164,1.71651454051775,4.3443034223773305,2.694129738413716,90.61360544299077
1999,4565.16052103884,2226.7517390912976,7589.790632506302,341.76765597638285,13.783159498643887,18.026436697195336,9.25393265380503,15.618348726206637,0.930852385462097,36.550752641962134,46.372597883677194,17.958783136615843,15.99477704272347,1.9252341052174202,2.3509617233261215,3.38195610323575,7.503990592525186,0.13943611062287828,0.6213456611029158,1.2137128499472298,4.329027197995984,3.6214566420033383,0.41383225377241284,1.126541701573186,0.6768568679628685,1.3615491948532628,0.2122441527994747,2.0621306497298955,0.8457888946096601,0.4341454885647862,4.825993782282711,3.5889788217699596,1.3460113331896921,3.943619745352511,0.0077100238006811705,2.4433535956123387,1.647159450089901,16.64818893891194,1.2396362050677856,3.3325672681306155,1.8302386711435834,64.85385245129805
2000,3891.6162481660713,1894.8677597970236,6463.779150980353,288.3000609364727,11.282861849668514,15.934389920451531,7.71076707649605,13.432886708738765,0.7977902185031022,31.010043847826072,39.20239760618487,15.072075288190277,13.389758615609564,1.6496037263600383,2.017833542532224,2.929466271591755,6.2420577098070895,0.11679118943806699,0.5435099717403039,1.0146914728245844,3.667714739476567,3.0683583205597946,0.3318622590180113,0.9683588819063932,0.5424309751072989,1.1054362258536106,0.17565885655171715,1.672656241988598,0.7151479973743687,0.38680553922473176,4.053887260795925,2.9245763864081895,1.0963875175127482,3.399244019767727,0.0065151532394424885,1.9462221873433145,1.3819977883180556,14.29176261605761,1.0489029245888426,2.840879935307786,1.5219363519312348,54.59401477396604
2001,4024.6039490443295,1962.1216405845796,6703.632521559572,292.5083541274204,11.330660567309288,16.35394409411499,7.736670047160371,14.246407051138023,0.812260710419286,31.228593523181367,39.28005422498421,14.769681758535102,13.066640810327995,1.668702501872859,2.049555275098094,2.9555472884637006,6.316285512014515,0.1161019941300719,0.5369924594517055,1.0190423331958962,3.753613086920949,3.222969662404124,0.3507244499903922,0.8454706105208154,0.5379949733653815,1.118052775411878,0.15772075473484787,1.6618515485111944,0.7041322145505524,0.3787289523551296,3.9724033154761154,2.919478160558502,1.0446300751118416,3.278499996222742,0.0064256410850498345,2.094023308434789,1.326085636027627,14.944778661262967,1.045162662528986,2.937960960196543,1.4657561170029165,55.431933153706495
2002,4790.487780365465,2343.587889822221,7924.142738304258,394.0310250873543,18.117316353425114,19.557709536227016,10.025549869474634,15.339865584477865,1.026758675584408,40.322150972660346,51.092956890114316,20.69449351646647,18.663189672368365,1.9939471484565847,2.5755943028589585,3.811783741523487,9.298793768205552,0.15277700763248495,0.7275613377284472,1.2338645583766525,4.922965821825384,4.218915522080014,0.654063953715849,1.566663895502979,1.0161249298692638,2.0791133886432713,0.2706165877934171,3.0722701643728567,0.955970073015217,0.5166054621852589,5.370091392264616,4.207090956326358,1.6966047132695092,4.737740737922456,0.008638143095856256,3.950699072335609,1.829963846364539,18.49330956099073,1.3542362880442373,3.497056171927888,2.1110781416567335,77.01685849874622
2003,4525.248732975623,2199.9354755111076,7451.358768894978,364.52707932070444,15.361827689589148,19.97666454269181,9.17675550350916,14.32518077349654,1.0057091462377783,39.45167344601296,49.392246035080255,20.636165012776114,18.667815856388472,1.9341769718100121,2.5974806828566734,3.786946435637413,8.114761395895732,0.1513081317463363,0.7475778908144045,1.1561359080672649,4.543834547655412,3.788474984399612,0.4728406848860477,1.9188729400886808,0.8467658752330459,1.76247892121705,0.27002268911785526,2.637496349272544,0.9305651854929299,0.5441795360189126,5.160938267689403,3.6005550560451947,1.551967443947609,4.694288118936589,0.009134165300581323,3.050607547660171,1.7108606337132148,16.94403302631961,1.2074967408156634,3.303431661568411,2.026889047600662,70.23817506620375
2004,4525.774739534858,2213.001328265528,7514.519174411146,354.47819777362037,15.557346371373237,17.277542393672153,9.590344433400913,15.099063484679458,0.9291922481594324,36.49262206917508,46.723821728547094,18.086410731894595,16.135617516125187,1.9126701879214192,2.2795456588944774,3.396203299770392,8.186373010625053,0.1369879307097882,0.6239698253310695,1.2259621824233111,4.45102630599165,3.73381182149945,0.5200838721066997,1.0408576814087602,0.8063249589796724,1.6019398180770363,0.23153898023078837,2.413150342092386,0.8639285019300179,0.4327942681388914,4.961604209464562,3.921283160622633,1.4854899819811451,4.162358166188683,0.00725772979222668,2.945272557135109,1.7652881445381468,16.92173722184113,1.3231296925955505,3.3038156455825645,1.9150277476771482,68.21485889054519
2005,4610.13097734962,2252.4727515023474,7656.74653303529,356.42169655342656,15.3562957973078,17.640254296468314,9.76833853771701,15.53326361353042,0.9360058485562256,36.78119086866537,47.28537775591482,18.06226335761703,16.05445303988139,1.9686225236688695,2.2925880652207558,3.4298705500405133,8.169772543899427,0.13798026047397885,0.629166876468719,1.260263755880207,4.4880543406903985,3.72268782460011,0.5014656586660687,0.9716906381560025,0.7718885677467645,1.5162745838873382,0.23162315633810235,2.3053110183064787,0.8749393046267645,0.439514250380696,5.049846526899911,3.9501609728567524,1.4768978406273063,4.213470081392265,0.007210937470101482,2.735834655748545,1.819492148825687,17.135271244430015,1.3700136534550231,3.3653957013444393,1.935186353431229,68.29581336525058
2006,4480.90755615992,2207.385620372274,7433.165379186022,386.0047732283974,19.637656824573256,17.766011438559982,9.754084463319092,14.17254963127518,0.9209218947231137,37.003419545229164,47.90726348016147,19.089311553444674,17.21845772455676,1.836848634329279,2.3103815279063866,3.423265336520743,9.768920955031314,0.14386395603246296,0.6508603115861041,1.1525869307718168,4.842442150638284,4.205636661219411,0.8239601377179733,1.2390005389215089,1.129616691663146,2.259833765434933,0.25886501137238516,3.3187116167558233,0.9053494253991542,0.46712959024814504,5.149476903353893,4.420123066808691,1.7208294856425634,4.398075737107743,0.007770311248134604,4.66380715970654,1.7780895030913744,18.03678315502457,1.3775363407056338,3.271062602935691,2.036498057333399,77.05201966516368
