,SO2,BC,OC,NMVOC,NOx,NH3,CO
2000,97.8099319,3.369285319,7.731116132500001,119.76787528,108.21881361785776,42.76551042496501,511.93821057
2001,96.53099040000001,3.335781905,7.6277926715,119.73563231999997,107.58414688782875,43.04530512665001,496.16437642999995
2002,94.08571321000002,3.355815397,7.611735644,120.36108656999998,107.23031913298999,44.292608118859995,486.57353545499996
2003,94.11774872500001,3.4625978959999992,7.744413247999999,122.46642877,108.64765130389492,44.69747836908,480.80508954999993
2004,96.69080034000001,3.5317744810000002,7.931731577999998,125.78677166,111.52411854698936,45.82574822042001,480.37927631000014
2005,98.25289533000002,3.6033817689999994,8.085164809,128.17063252,111.75817092580816,45.436980327019995,477.03838237
2006,100.82381331999999,3.6958679930000007,8.158809485,129.75940605,112.77197869658134,46.60368102294999,475.6565027260001
2007,102.23158333999999,3.8324802005000005,8.233000839999999,130.65107512,114.63199502101642,47.246294920400004,476.40390146
2008,101.62738066,3.857735830999999,8.346499800999998,131.76384758999998,111.72350835780277,47.21044782928,476.409751166
2009,100.71399778999998,3.9945690290000013,8.485933250000002,131.10708094,109.85436391001807,48.54112471250001,471.91125217000007
2010,103.06875731699999,4.131749522499999,8.658674197500002,134.38461655,112.12908115338932,48.91378230733999,483.49689003000003
2011,106.35816714,4.240888624,8.782438415999998,136.80760778,114.89430905613013,49.80218664547,494.231220336
2012,106.73047457999999,4.2993133740000005,8.821626617,140.57859092,116.20081800440447,50.394862008349996,508.42621494499997
2013,106.06268096500001,4.353427375999999,8.815537239,142.51938751,116.64779643764116,51.02601049874,518.74676053
2014,106.29067552000001,4.300118186000001,8.811394228,143.68020980000003,117.10331725870225,50.67595734355,521.0754099200001
2015,104.22884921,4.209456648999999,8.741662879999998,145.63721680999998,117.82301179619144,51.29631367801001,520.321660755
2016,101.16273036000001,4.030628919000001,8.563231059000001,145.36594262000003,115.45655740363594,51.516170028415,507.01641884
2017,99.738846714,4.045058195999999,8.492463896,145.74835396999998,115.00204420382188,51.46301095820001,502.45410337
2018,101.10149310999999,4.033510911,8.5760171,146.32328797,115.83194137204096,51.20770727319,500.66132049
2019,98.422296088,4.01327901,8.545525218,145.87602715,114.78901495864825,51.41844154298501,493.172002465
2020,84.27350280499999,3.8534153250000003,8.477627558,138.62153064999998,103.59183281213825,51.715491176804,462.563857585
2021,85.99697284000001,3.959774147999999,8.335863036000001,145.09956370000003,111.79968127517495,51.853011909195004,484.86051000000003
2022,84.21772654,3.942899697,8.307404544999999,144.76982497,111.40679799262148,52.074831447505986,481.06635203999997
2023,82.62110184299999,3.9267603829999995,8.2736885565,144.46665818,110.43118482131253,52.299374525135,477.38341507999996
2024,81.45862849000001,3.922994144,8.266787611000002,144.59215593,109.81668575803171,52.63254679623,475.220456495
2025,80.08061593000001,3.8986162079999995,8.211203285,143.96043779,108.70289438906553,52.75688075078,470.65298962
