,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1750.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04923913566184396,0.1523298212223769,0.0,0.0,0.0,0.0,0.23064532204243204,0.0
1751.5,0.0012464563166150145,0.00040609947543292235,6.365940923563424e-05,-0.0004053852253321773,0.0003034116211485509,-0.0006623519753505896,0.0,-0.0002714649128634397,-0.0008380304608629325,-8.470585463993304e-08,0.03996645323172448,0.17749200922643735,0.0005507802972363762,0.0004796122355933663,3.7312503469534286e-10,0.0015532543557393716,0.25198885114688774,-0.0009514931136338721
1752.5,0.0024926156416207935,0.0008119535097480645,0.00012731184948955768,-0.00040457857537636477,0.000422574627222135,-0.0006147051220043621,0.0,-0.0005420696535166787,-0.0011176710706592315,-1.6941170927986608e-07,0.024782389593474494,0.17954531529669812,0.0009868591623225418,0.0009589709316607949,7.462500693906857e-10,0.003763653508643896,0.23534583068967627,-0.0013642512001809685
1753.5,0.003738478130157694,0.0012175624966879245,0.00019095732461435851,-0.00040610519544714146,0.00030905656664597894,-0.00022336586281548787,0.0,-0.0008113552891528951,-0.000838160903334337,-2.5411756391979917e-07,0.006500925711286321,0.06818025075945565,0.0005623100091239418,0.0014380732905926823,1.1193751040980306e-09,0.005563050610406682,0.09040590011001008,-0.0012898580401012666
1754.5,0.00498404393724652,0.001622926828940963,0.00025459583845655043,-0.0009210207869685221,-0.009262461793017688,0.00037382495805697217,0.0,-0.001080745711898742,-1.4377168237554625e-07,-3.3882341855973215e-07,-0.03216778046786149,-0.09007600303746281,-0.00980589660654535,0.0019169207801240673,1.4925001387933734e-09,-0.001451924158494115,-0.10957491367993591,-0.0009035939933667203
1755.5,0.0062293132177801015,0.0020280468981459117,0.0003182273948539942,0.00019832427399349618,-0.0015445985578551554,0.0005192484594882573,0.0,-0.0013485025595309963,-1.5634656958775237e-07,-4.2352927319966524e-07,-0.06882983858932733,0.06453544551544932,-0.0010808233389726046,0.0023955208865806535,1.8656251734887162e-09,0.009178708906573976,0.020688220940535577,-0.0011369405769028175
1756.5,0.00747428612653624,0.002432923094895175,0.000381851997638523,-0.0005414450073360901,0.00028148919201310653,0.00010403624601929221,0.0,-0.001615555543211964,-0.0008935529473144734,-5.082351278395983e-07,-0.08019306466111725,-0.04447495906585624,0.00038162553381735395,0.0028738733413715563,2.2387502081840592e-09,0.011081411568545307,-0.1012352494657061,-0.001967574948147195
1757.5,0.008718962818169291,0.0028375558087394364,0.00044546965063373573,-0.001589402493781832,-0.026327064988941197,0.0013795058524257505,0.0,-0.0018818291669662017,-2.184635267889791e-06,-5.929409824795314e-07,-0.051593345017407914,0.144228797651634,-0.026346842916549047,0.0033519766660069098,2.611875242891404e-09,-0.009540372531786788,0.11328592925900711,-0.0011425726982168226
1758.5,0.00996334344721243,0.0032419454281909527,0.0005090803576576221,-0.000497826828773201,-0.011220520171749203,0.0011688508026857136,0.0,-0.0021489469726914717,-1.0895080194680288e-06,-6.776468371194767e-07,0.008319538068857027,0.1777516026628544,-0.011029723983830864,0.003829830870552012,2.985000277586747e-09,0.0066920935405716,0.20842767716928737,-0.001562425158244069
1759.5,0.011207428168077757,0.0036460923407275617,0.0005726841225192405,-0.000859750374403822,-0.012722861488162566,0.00105265190555584,0.0,-0.0024127896972991093,-9.727274879354264e-07,-7.623526917594097e-07,0.03393769458010136,0.17345690167847344,-0.012864763964623759,0.004307436343238671,3.3581253122820894e-09,0.006459412490630833,0.24699966336193663,-0.0018233182921280591
1760.5,0.012451217135057521,0.004049996932796872,0.000636280949021343,-0.0025721136655994462,-0.03042380251557361,0.001240065309575924,0.0,-0.002690315599695542,-1.4225324407169597e-06,-8.470585463993427e-07,0.046509819804891335,0.037574279871999704,-0.03153630531526139,0.004784793471271117,3.7312503469774324e-09,-0.009677918393802472,0.10333368260903673,-0.0019492464445591954
1761.5,0.01369471050232102,0.0044536595898197594,0.0006998708409603979,-0.0016225823449240444,-0.023905737097048373,0.001582412653747303,0.0,-0.002977964778980446,-1.8512043355062611e-06,-9.317644010392758e-07,0.043379549902302764,-1.572215911534527,-0.024136596479547093,0.005261902640829497,4.104375381672775e-09,0.0003197082400328469,-1.4724188444247124,-0.002097257952574961
1762.5,0.014937908423916877,0.004857080696194264,0.000763453802124755,-0.0006860585015688627,-0.00775570183889597,0.0010358016152874309,0.0,-0.003268007782143173,-4.054904614459589e-07,-1.016470255679209e-06,0.03221767306693455,-0.7407401274781552,-0.008056415267194791,0.005738759709209325,4.47750041638012e-09,0.016247607702061555,-0.657716846197983,-0.002758739024997972
1763.5,0.016180811053775286,0.005260260635299375,0.0008270298362957829,-0.0006926181040404186,-0.008828626772949886,0.0012922235687221752,0.0,-0.0035561081374789224,-6.451947831015291e-07,-1.1011761103191418e-06,0.015162243742584614,-0.03843610620640095,-0.009027366944315251,0.006215367080216783,4.8506254510754635e-09,0.017580578578503196,0.005782114481467141,-0.002938449224503723
1764.5,0.017423418545704925,0.0056631997894988255,0.0008905989472482625,0.0001295724546350339,0.00033567790136974164,0.001005951309036341,0.0,-0.003845845797245285,-0.0006565766398642963,-1.185881964959075e-06,-0.010617762264603847,0.1268416302960374,0.0013792756736951976,0.006691734154387767,5.223750485770806e-09,0.027998860366257632,0.15628620049939268,-0.003762710317866202
1765.5,0.01866573105339421,0.006065898540144876,0.0009541611387504115,-0.0016618151197797769,-0.02109858187937028,0.0017083774464544046,0.0,-0.004137995280791929,-1.3697329486710727e-06,-1.270587819599008e-06,-0.05408209236470757,0.1742214384174465,-0.021599207756213774,0.007167852552187254,5.596875520466149e-09,0.0101586214983115,0.15931693600043953,-0.003231266693026012
1766.5,0.01990774873041131,0.006468357267582105,0.0010177164145624181,0.00015065884122119304,-0.00849601931276432,0.0016811035785894335,0.0,-0.004429089070287043,-8.550771334283667e-07,-1.355293674238941e-06,-0.07514570559253611,-0.3032100312098311,-0.007785804067168874,0.007643716292529995,5.970000555173494e-09,0.02538388065572591,-0.3248272028170482,-0.003646328406174153
1767.5,0.02114947173020545,0.006870576351151088,0.0010812647784379517,-1.5691629458092213e-05,-0.009546474862036844,0.0017791641921938986,0.0,-0.004719257786966547,-9.607647729556438e-07,-1.4399995288788741e-06,-0.055586501520923856,0.002254401023021527,-0.008975254210981406,0.008119313414919472,6.343125589868836e-09,0.02627918052052059,-0.01924683381711014,-0.0038704074130612685
1768.5,0.02239090020610272,0.00727255616919178,0.001144806234124556,-0.004031513298676852,-0.05446444721783038,0.0028934568530608537,0.0,-0.005006403645145254,-3.869500384692868e-06,-1.5247053835188072e-06,0.008695137600063888,0.12499818439773323,-0.055422962898826554,0.008594640247884417,6.716250624564179e-09,-0.014501087421963451,0.15325835571043758,-0.0034217360255657447
