year,stratospheric_AOD,volcanic_ERF
-499.9583333333333,0.002916091958041164,0.19988293705752813
-499.875,0.0028856270210661085,0.20049223579702927
-499.7916666666667,0.00286462346672677,0.20091230688381603
-499.70833333333337,0.0028507076329513815,0.20119062355932382
-499.62500000000006,0.0028420668180768028,0.20136343985681537
-499.54166666666674,0.0028373188779478196,0.20145839865939508
-499.4583333333334,0.002835411648248596,0.2014965432533795
-499.3750000000001,0.0028355466062122817,0.2014938440941058
-499.2916666666668,0.00283711911358465,0.20146239394665844
-499.2083333333335,0.0028396751630374805,0.2014112729576018
-499.12500000000017,0.0028428745540473193,0.20134728513740507
-499.04166666666686,0.002846465465791428,0.2012754669025229
-498.95833333333354,0.002850262375671144,0.20119952870492855
-498.8750000000002,0.0028541296678701836,0.20112218286094777
-498.7916666666669,0.0028579694677363524,0.2010453868636244
-498.7083333333336,0.0028617131792618784,0.20097051263311388
-498.6250000000003,0.002865315232452132,0.2008984715693088
-498.54166666666697,0.002868747601063617,0.2008298241970791
-498.45833333333366,0.0028719926698073986,0.20076492282220346
-498.37500000000034,0.002875041706183071,0.20070394209469003
-498.291666666667,0.0028778913111427045,0.20064694999549737
-498.2083333333337,0.0028805431661616207,0.20059391289511902
-498.1250000000004,0.002883003759164228,0.20054470103506689
-498.0416666666671,0.0028852814204178546,0.20049914780999434
-497.95833333333377,0.0028873854292758515,0.20045706763283438
-497.87500000000045,0.0028893254183579146,0.20041826785119315
-497.79166666666714,0.002891110235331916,0.20038257151171313
-497.7083333333338,0.002892749771894409,0.20034978078046325
-497.6250000000005,0.0028942547456344845,0.20031968130566175
-497.5416666666672,0.0028956354797824257,0.2002920666227029
-497.4583333333339,0.002896902126869896,0.20026673368095352
-497.37500000000057,0.002898063528316392,0.2002435056520236
-497.29166666666725,0.002899126763050238,0.2002222409573467
-497.20833333333394,0.002900098915865556,0.20020279790104034
-497.1250000000006,0.0029009878100885564,0.2001850200165803
-497.0416666666673,0.002901801547355291,0.20016874527124562
-496.958333333334,0.002902546144107136,0.20015385333620872
-496.8750000000007,0.0029032276038052293,0.20014022414224686
-496.79166666666737,0.0029038499216043987,0.20012777778626345
-496.70833333333405,0.002904417743463458,0.20011642134908225
-496.62500000000074,0.0029049361463184624,0.20010605329198217
-496.5416666666674,0.002905409611592503,0.20009658398650138
-496.4583333333341,0.0029058434631226825,0.2000879069558978
-496.3750000000008,0.0029062403745341576,0.20007996872766828
-496.2916666666675,0.0029066027420087477,0.2000727213781765
-496.20833333333417,0.0029069326489798808,0.2000661232387538
-496.12500000000085,0.0029072334947852847,0.20006010632264576
-496.04166666666754,0.002907508670374968,0.20005460281085208
-495.9583333333342,0.002907761098905919,0.20004955424023307
-495.8750000000009,0.002907992107361851,0.2000449340711144
-495.7916666666676,0.002908202732234949,0.20004072157365246
-495.7083333333343,0.0029083941200087355,0.20003689381817674
-495.62500000000097,0.0029085679495253424,0.20003341722784457
-495.54166666666765,0.0029087270696467452,0.20003023482541654
-495.45833333333434,0.002908873308249594,0.20002731005335955
-495.375000000001,0.0029090073917954645,0.20002462838244217
-495.2916666666677,0.002909129554037675,0.20002218513759795
-495.2083333333344,0.002909240217666018,0.2000199718650311
-495.1250000000011,0.002909341121520013,0.20001795378795117
-495.04166666666777,0.0029094336221046468,0.2000161037762585
-494.95833333333445,0.0029095188184994547,0.20001439984836236
-494.87500000000114,0.0029095971646953536,0.20001283292444438
-494.7916666666678,0.002909668404519151,0.20001140812796842
-494.7083333333345,0.002909732339114967,0.2000101294360521
-494.6250000000012,0.002909790011743577,0.2000089759834799
-494.5416666666679,0.002909842955724845,0.20000791710385457
-494.45833333333456,0.0029098923092710045,0.20000693003293135
-494.37500000000125,0.0029099380355672145,0.20000601550700714
-494.29166666666794,0.0029099795495733023,0.2000051852268854
-494.2083333333346,0.002910016406709497,0.20000444808416148
-494.1250000000013,0.00291004968150845,0.20000378258818244
-494.041666666668,0.0029100804951365735,0.20000316631561998
-493.9583333333347,0.002910109723693563,0.20000258174448018
-493.87500000000136,0.00291013674127972,0.200002041392757
-493.79166666666805,0.0029101609795331115,0.2000015566276892
-493.70833333333474,0.0029101824099298005,0.20000112801975542
-493.6250000000014,0.002910200921544348,0.20000075778746448
-493.5416666666681,0.0029102180601267187,0.20000041501581706
-493.4583333333348,0.0029102346648552627,0.2000000829212462
-493.3750000000015,0.002910250699559871,0.19999976222715402
-493.29166666666816,0.0029102650314256043,0.19999947558983935
-493.20833333333485,0.0029102769966671813,0.19999923628500782
-493.12500000000153,0.0029102873879217166,0.1999990284599171
-493.0416666666682,0.002910297730808128,0.19999882160218888
-492.9583333333349,0.002910308049745794,0.19999861522343554
-492.8750000000016,0.0029103178072062397,0.19999842007422663
-492.7916666666683,0.0029103264394701256,0.1999982474289489
-492.70833333333496,0.0029103334533390757,0.19999810715156993
-492.62500000000165,0.002910338871968899,0.19999799877897345
-492.54166666666833,0.0029103440983097783,0.1999978942521559
-492.458333333335,0.0029103499957465603,0.19999777630342025
-492.3750000000017,0.002910355665668094,0.19999766290498958
-492.2916666666684,0.0029103611265573516,0.1999975536872044
-492.2083333333351,0.0029103647897999866,0.19999748042235171
-492.12500000000176,0.0029103676550536212,0.19999742311727903
-492.04166666666845,0.0029103710482047637,0.19999735525425616
-491.95833333333513,0.0029103748575590254,0.1999972790671709
-491.8750000000018,0.0029103788443284755,0.19999719933178195
-491.7916666666685,0.0029103821630654847,0.19999713295704175
-491.7083333333352,0.0029103841785066754,0.19999709264821794
-491.6250000000019,0.002910385293265485,0.19999707035304176
