,total,natural,anthropogenic,wmghgs,other_ant
1750,0.3012700292093704,0.3012700292093704,0.0,0.0,0.0
1751,0.32213357090175265,0.316568029585395,0.0055655413163576695,0.001999050428784125,0.0035664908875735275
1752,0.2988944209703993,0.2892355695574725,0.009658851412926828,0.003997447983180819,0.005661403429746056
1753,0.11387517519836608,0.10415190226687851,0.009723272931487573,0.005995193336823979,0.0037280795946636
1754,-0.08644642676268291,-0.09339957222770909,0.006953145465026178,0.007992287161884938,-0.0010391416968587438
1755,0.05168299796125388,0.040386231710959807,0.011296766250294077,0.009988730129066297,0.0013080361212277753
1756,-0.07346563787896544,-0.0890224093705655,0.015556771491600063,0.011984522907622556,0.0035722485839775
1757,0.1700388589165109,0.1585040185456783,0.011534840370832605,0.013979666165355115,-0.0024448257945225366
1758,0.2709166465532623,0.2546843939202687,0.016232252632993605,0.015974160568621176,0.00025809206437239996
1759,0.3163172405496519,0.2994410582269403,0.016876182322711597,0.017968006782335035,-0.0010918244596234998
1760,0.15806651888964868,0.1426357287645366,0.015430790125112087,0.019961205469978396,-0.0045304153448663
1761,-1.150513462903232,-1.1699909344342438,0.01947747153101176,0.021953757293600357,-0.0024762857625884997
1762,-0.5044988558736999,-0.5277115570616341,0.02321270118793417,0.023945662913823614,-0.0007329617258894995
1763,0.025470606064819372,0.00010835048813579926,0.025362255576683573,0.025936922989852573,-0.0005746674131690002
1764,0.19808343423655786,0.1636643539168891,0.034419080319668754,0.027927538179474933,0.0064915421401938005
1765,0.22456493804421623,0.19717183861645493,0.027393099427761303,0.02991750913906839,-0.002524409711307099
1766,-0.25773279749784106,-0.2921700247687986,0.03443722727095755,0.031906836523603155,0.0025303907473544
1767,0.0025841841752231075,-0.0337008291986868,0.03628501337390991,0.03389552098665021,0.0023894923872597
1768,0.21521730391574936,0.1865816410118638,0.028635662903885556,0.035883563180380974,-0.007247900276495399
1769,0.1544854539780046,0.11977696312983141,0.03470849084817318,0.037870963755578836,-0.0031624729074056007
1770,0.33347300762104676,0.2967964925548968,0.03667651506614994,0.039857723361636586,-0.003181208295486599
1771,0.38782661221532955,0.343771609478926,0.04405500273640356,0.041843842646568846,0.0022111600898347002
1772,0.37706725641265987,0.3304713276257268,0.04659592878693308,0.04382932225701061,0.002766606529922488
1773,0.3442162687954735,0.2960806588599366,0.048135609935536894,0.04581416283822486,0.002321447097312053
1774,0.2977607391578095,0.2555711829633773,0.04218955619443221,0.04779836503410763,-0.0056088088396754
1775,0.26913611882967636,0.2198817399044834,0.049254378925192965,0.049781929487188195,-0.0005275505619952004
1776,0.25241269124384164,0.1987326499268262,0.053680041317015426,0.051764856838641744,0.0019151844783736997
1777,0.2545143612702198,0.2025399698091078,0.05197439146111202,0.053747147728284504,-0.001772756267172502
1778,0.2949020300726231,0.2441999389903868,0.050702091082236306,0.05572880279458706,-0.005026711712350701
1779,0.29463338724114296,0.2384867965135464,0.05614659072759656,0.05770982267467402,-0.0015632319470775008
1780,0.3595121558765398,0.30781174275418144,0.051700413122358346,0.059690208004328886,-0.0079897948819705
1781,0.40948153846282836,0.3521250155707766,0.05735652289205179,0.06166995941800154,-0.0043134365259498
1782,0.39534740212006436,0.3355261574562199,0.059821244663844475,0.0636490775488055,-0.003827832884961101
1783,-1.9740536095818226,-2.037488721108825,0.06343511152700221,0.06562756302853495,-0.0021924515015325006
1784,-2.962522367061832,-3.0344048608512564,0.07188249378942446,0.06760541648765302,0.0042770773017719
1785,-0.2719922710808654,-0.33749009871773766,0.06549782763687229,0.06958263855531137,-0.0040848109184391
1786,-0.02670368596663726,-0.09934281565769071,0.07263912969105345,0.07155922985934665,0.001079899831706799
1787,0.19078108588394146,0.1203604447648202,0.07042064111912126,0.0735351910262865,-0.0031145499071653007
1788,0.23896101757379062,0.1756790589712074,0.06328195860258323,0.07551052268135106,-0.0122285640787679
1789,0.40478637160166386,0.3352510179405563,0.06953535366110758,0.07748522544846341,-0.007949871787355808
1790,0.16472345931427923,0.09394530003490839,0.07077815927937084,0.07945929995025049,-0.008681140670879614
1791,0.31490588162196437,0.23567372729724112,0.07923215432472325,0.08143274680804484,-0.0022005924833216
1792,0.41279412623538075,0.32831614481302357,0.08447798142235718,0.08340556664189361,0.0010724147804635998
1793,0.3623490836121223,0.2772929823588647,0.08505610125325763,0.08537776007056146,-0.0003216588173039006
1794,0.3371301809609766,0.2611921952450002,0.07593798571597637,0.08734932771153442,-0.011411341995558
1795,-0.07335901022294535,-0.1560393380202847,0.08268032779733935,0.08932027018102007,-0.006639942383680703
1796,0.19299059084831527,0.10579455569791921,0.08719603515039606,0.09129058809396004,-0.004094552943564001
1797,0.06971056373602508,-0.015832244398679404,0.08554280813470448,0.09326028206402918,-0.007717473929324697
1798,0.19826170034558785,0.1135695427436544,0.08469215760193345,0.09522935270363746,-0.010537195101704002
1799,0.25957562201740414,0.1726500267595591,0.08692559525784505,0.0971978006239407,-0.010272205366095698
1800,-0.10676721259183482,-0.1919302573828537,0.08516304479101887,0.09916562643483877,-0.014002581643819904
1801,0.1948286621831653,0.10462754864253179,0.09020111354063351,0.10113283074498394,-0.010931717204350475
1802,0.2884012232220109,0.1979999951131417,0.09040122810886919,0.10309941416178019,-0.012698186052910999
1803,0.3470600602340716,0.2513031035824129,0.09575695665165868,0.10506537729139305,-0.0093084206397344
1804,0.3730194788626529,0.2717181878527654,0.1013012910098875,0.10703072073875121,-0.005729429728863698
1805,0.26990303371100316,0.1745087057172017,0.09539432799380146,0.10899544510754647,-0.013601117113744997
