,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1750.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0975902619928896,0.2464124699959412,0.0,0.0,0.0,0.0,0.3440027319888308,0.0
1751.5,0.0014160691022487,0.000508281967061,7.397683113817112e-05,0.0004405023253626,0.0033831069571184,-0.0004225437285092,0.0,-7.81049087773538e-06,-0.0003461443324526,4.671855351490393e-05,0.0792439729303896,0.2464196812311494,0.003823609282481,0.0005822595940001306,7.958009594387151e-10,0.0050921579804052,0.3307558121419442,-0.00030723626981543146
1752.5,0.0028318009627473,0.0010162567352663,0.0001479455644783,0.0008606803389937,0.0050376764111578,-0.0003900661107056,0.0,-2.082797567396101e-05,-0.0004661838498709,9.340887095788596e-05,0.0491660432428896,0.2464221031513641,0.0058983567501515,0.0011642038913465189,1.5916019188774301e-09,0.009110692538952744,0.3046988389332064,-0.00039360295458697506
1753.5,0.0042471957575695,0.0015239247974318,0.0002219062044972,0.0004086915535156,0.0034394801271644,-0.0001242278707848,0.0,-3.905245438867689e-05,-0.000359810443654,0.0001400709976259,0.0129882844538271,0.2464229209708615,0.0038481716806800003,0.0017458333893318782,2.387402878341742e-09,0.009458181056379801,0.2688693864810684,-0.0002587919004167769
1754.5,0.0056622536626548,0.0020312866450537,0.0002958587556644,-0.0005182965044572,-0.0006501471109133,0.0007560776373496,0.0,-6.248392702188302e-05,2.1839735019392626e-05,0.0001867049786947,-0.0214266081242978,-0.1167286836319999,-0.0011684436153705001,0.0023271485839219375,3.183203837780457e-09,0.007723097055248047,-0.13043219470104964,0.0001460607866922096
1755.5,0.0070769748538047,0.0025383427683148,0.0003698032224395,0.0003410384394285,8.10042875702886e-05,0.0010313906786108,0.0,-9.11223935735794e-05,1.9338862094035766e-05,0.0002333108592193,-0.0459039274602353,-0.0044965500942877,0.0004220427269987886,0.0029081499697590973,3.979004797219172e-09,0.011600085556913142,-0.03880039199760985,0.00016152732773975635
1756.5,0.0084913595066792,0.0030450936560881,0.0004437396092752,0.0002031980398679,0.0033531422908763,0.0002461203390382,0.0,-0.0001249678540437,-0.0004026166549528,0.0002798886841341,-0.0534858122258603,0.1562750429499726,0.0035563403307442,0.0034888380401690566,4.774805756657887e-09,0.015534962391768258,0.11832419311588058,-0.0002476958248624
1757.5,0.0099054077968045,0.0035515397959428,0.0005176679206144,7.84137039562322e-05,-0.0045853312453311,0.002700580857605,0.0,-0.0001640203084324,0.0006979843497112,0.0003264384982541,-0.0343438932805478,0.2158749963499173,-0.004506917541374868,0.004069213287163916,5.570606716122199e-09,0.013028686939731448,0.19455979000910092,0.0008604025395329
1758.5,0.011319119899568,0.0040576816741483,0.0005915881608937,0.0001829134421818,-0.0015567120869217,0.0022998139721748,0.0,-0.0002082797567396,0.0003174645602684,0.0003729603462744,0.0170132356257021,0.2361496875107225,-0.0013737986447398998,0.0046492762014496754,6.366407675560915e-09,0.017376556578255774,0.27053947971468034,0.0004821451498031999
1759.5,0.0127324959902212,0.0045635197756793,0.0006655003345391,-0.0001795859534349,-0.0022317701121811,0.0020944799294253,0.0,-0.0002577461989652,0.000270840097105,0.0004194542727713,0.0675123323053896,0.2429717505361263,-0.002411356065616,0.005229027272427035,7.162208634999629e-09,0.018077195297368634,0.3285612781388846,0.0004325481709111
1760.5,0.0141455362438733,0.0050690545842213,0.0007394044459695,-0.0009576516499487,-0.0047722810623666,0.0024713754666119,0.0,-0.0003124196351094,0.0004175853100387,0.0004659203222027,0.0923952668757021,0.2452638878122271,-0.005729932712315301,0.005808466988200394,7.958009594438344e-09,0.017266531983502295,0.35492568667143154,0.0005710859971320001
1761.5,0.0155582408355038,0.0055742865821744,0.0008133004995963,-0.0001931829768274,-0.0042350949455082,0.0031244386856508,0.0,-0.000372300065172,0.0005555956534305,0.0005123585389081,0.0862486360163271,0.246033860143254,-0.004428277922335601,0.006387595835581254,8.753810553877059e-09,0.021337651561566858,0.35362014772114797,0.0006956541271665999
1762.5,0.0169706099399518,0.0060792162506586,0.0008871884998217,-0.0004280522554444,-0.0011121302434187,0.0020910657717506,0.0,-0.0004373874891531,5.392451835287431e-05,0.0005587689671094,0.0641582063288271,-0.8908206150110525,-0.0015401824988630999,0.006966414300091813,9.549611513341372e-09,0.02466321350924029,-0.8019991951729852,0.00017530599630917432
1763.5,0.0183826437319171,0.0065838440695186,0.0009610684510395,-0.0003176626829222,-0.0015261163697652,0.0025866227799167,0.0,-0.0005076819070527,0.0001274598715847,0.0006051516509116,0.0308197541803896,-0.5395121361474979,-0.0018437790526873998,0.007544922865970573,1.0345412472780088e-08,0.026895339940560575,-0.4817970420265478,0.0002249296154435999
1764.5,0.0197943423859665,0.0070881705173281,0.0010349403576361,0.0011606231347818,0.0047181788535238,0.0020255917180729,0.0,-0.0005831833188709,-0.0003668509821313,0.0006515066343024,-0.0059352262883603,-0.0359522733117756,0.0058788019883056,0.008123122016177632,1.11412134322188e-08,0.03552333044182283,-0.006364169158313072,-0.0002985276666997999
1765.5,0.0212057060765304,0.0075921960713951,0.0011088042239901,-0.0005400307887857,-0.0035708939854523,0.00340252827447,0.0,-0.0006638917246075,0.0003582118895889,0.0006978339611535,-0.0357791471867978,0.1507352043538642,-0.004110924774238,0.00870101223239959,1.1937014391657516e-08,0.02959047593529689,0.1445465331023633,0.0003921541261349
