,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
1750.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.010893838141051628,0.1757119884653683,0.0,0.0,0.0,0.0,0.19623549460866616,0.0,0.19623549460866616,0.0,0.0
1751.5,0.001246896869378824,0.00040613814045499936,6.409283890769164e-05,-0.0004053831742516347,0.0003034116211485509,-0.0006621579599215941,0.0,-0.0002554580909930695,-0.0008380304608629325,-8.473218310478925e-08,0.00031238160741958563,0.1820762144116338,0.0005507819405944837,0.00048014055231681354,3.7312503469843134e-10,0.001566077391887981,0.18967639711936896,-0.0009384550112222455,0.18284007818483766,0.0018008350441700504,-0.00042461920552066174
1752.5,0.002493496658237113,0.0008120308200995739,0.0001281784996629041,-0.0004045779102431721,0.000422574627222135,-0.0006143101950710602,0.0,-0.000509765700397966,-0.0011176710706592315,-1.694643662095785e-07,-0.013644349045964971,0.18007464000738335,0.0009868556702261441,0.0009600265858681726,7.462500693841541e-10,0.0037874585375019397,0.1818760055667282,-0.0013374436268193388,0.1708491937767854,0.0036010844707969497,-0.00017808798754164888
1753.5,0.0037397995217542217,0.0012176784327077854,0.00019225698644337663,-0.0004061044729793219,0.00030905656664597894,-0.00022322602411666825,0.0,-0.0007630805874478473,-0.000838160903334337,-2.5419654931436777e-07,-0.0354199160041183,0.07185989107080802,0.0005623092337633705,0.0014396588255668537,1.119375104095294e-09,0.00560263542194787,0.05575725658737922,-0.001245905099607723,0.04560060572402161,0.005400747079333788,-0.00030857851224405024
1754.5,0.004985805614988849,0.0016230813709995752,0.0002563283034199129,-0.0009210196013658333,-0.009262461793017688,0.0003737378029505104,0.0,-0.001015317649279344,-1.4377168237554625e-07,-3.38928732419157e-07,-0.06407617027251905,-0.035089400379113546,-0.009805896176517424,0.0019190375615286699,1.4925001387937254e-09,-0.001403040620328133,-0.08828235793339818,-0.0008384052812489535,-0.09328384455485023,0.007199828675491763,-0.009376839616172826
1755.5,0.006231515092871706,0.002028240026645069,0.00032039245475379855,0.00019832115761853257,-0.0015445985578551554,0.0005192899787993329,0.0,-0.0012668815788718687,-1.5634656958775237e-07,-4.2366091552394627e-07,-0.07916406055172254,0.0809818986198691,-0.0010808309690579269,0.002398163191238901,1.865625173479448e-09,0.009245724042534147,0.029487810364896585,-0.0010547545456110338,0.017565690207790897,0.008998352702237712,-0.0005319795887360194
1756.5,0.007476928110218439,0.0024331547902679837,0.0003844494445994404,-0.0005414470845047856,0.00028148919201310653,0.0001040313863561474,0.0,-0.0015178399488379659,-0.0008935529473144734,-5.083930986287355e-07,-0.08067576712861324,-0.03920808761755715,0.0003816227964192639,0.0028770361111257014,2.238750208190588e-09,0.011160585083140589,-0.09706317161692299,-0.0018736613252962988,-0.11319370652869962,0.010796304625997523,-0.0005463870325377756
1757.5,0.00872204482172227,0.0028378260514502294,0.00044849927710215425,-0.0015893969849084496,-0.026327064988941197,0.0013795186908528469,0.0,-0.0017685522594808273,-2.184635267889791e-06,-5.931252817335247e-07,-0.045052648168639166,0.14491768435118307,-0.026346839932440788,0.0033556546335934473,2.611875242901728e-09,-0.009446283896531748,0.11912208869296675,-0.0010370557026112349,0.1128832258428172,0.012593550744311429,-0.02337569247796637
1758.5,0.009966865381952041,0.0032422541987352084,0.0005125419564007935,-0.0004978279183721356,-0.011220520171749203,0.0011689077118577998,0.0,-0.002016971536822524,-1.0895080194680288e-06,-6.778574648383264e-07,-0.014737788462808293,0.17766802741944,-0.011029730122167606,0.0038340240763249807,2.9850002775874508e-09,0.006787972305027783,0.18239322356258786,-0.0014331211257082184,0.16781594751563528,0.014390291907956496,-0.009110713066264573
1759.5,0.011211389945358665,0.0036464396196318216,0.0005765774866244395,-0.0008597478010170421,-0.012722861488162566,0.0010525939988369917,0.0,-0.002266092272849526,-9.727274879354264e-07,-7.625896479431155e-07,-0.00418372304854648,0.18005047283305683,-0.012864762789152053,0.004312139909750593,3.358125312285882e-09,0.006571258918923274,0.19328734325767294,-0.0016765290791175141,0.17829616125428463,0.01618640896128585,-0.011275611223985044
