timepoints,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
1750.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.00955365138273,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.01046071800903,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.01130392374887,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.01214712948877,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1754.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.0129903352286,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1755.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.0138335409685,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.01467674670837,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1757.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.01551995244827,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.01636315818814,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.01720636392804,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
