year,stratospheric_AOD,ERF_sulfate,ERF_H2O,volcanic_ERF
-9499.5,0.0029104094649550463,0.24638832268559718,0.0,0.24638832268559718
-9498.5,0.0029104094649550463,0.24638832268559718,0.0,0.24638832268559718
-9497.5,0.0029104094649550463,0.24638832268559718,0.0,0.24638832268559718
-9496.5,0.0029104094649550463,0.24638832268559718,0.0,0.24638832268559718
-9495.5,0.03306803428887554,-0.3567641737928127,0.0,-0.3567641737928127
-9494.5,0.023748708279887676,-0.17037765361305546,0.0,-0.17037765361305546
-9493.5,0.010396945255091763,0.09665760688286285,0.0,0.09665760688286285
-9492.5,0.4130948213449727,-7.957299914914754,0.0,-7.957299914914754
-9491.5,0.3040773837878497,-5.776951163772297,0.0,-5.776951163772297
-9490.5,0.21854144554814614,-4.066232398978224,0.0,-4.066232398978224
-9489.5,0.10973521136704974,-1.890107715356297,0.0,-1.890107715356297
-9488.5,0.04035185139733145,-0.5024405159619307,0.0,-0.5024405159619307
-9487.5,0.015558203000747152,-0.006567548030244908,0.0,-0.006567548030244908
-9486.5,0.007162157030525266,0.16135337137419276,0.0,0.16135337137419276
-9485.5,0.00433876308934669,0.21782125019776433,0.0,0.21782125019776433
-9484.5,0.0033902147725241353,0.23679221653421537,0.0,0.23679221653421537
-9483.5,0.003071581155051566,0.24316488888366675,0.0,0.24316488888366675
-9482.5,0.002964548965391998,0.24530553267685815,0.0,0.24530553267685815
-9481.5,0.0029285952660449512,0.24602460666379908,0.0,0.24602460666379908
-9480.5,0.0029165179330901962,0.24626615332289417,0.0,0.24626615332289417
-9479.5,0.002912461267297354,0.24634728663875102,0.0,0.24634728663875102
-9478.5,0.002911098501266883,0.24637454195936045,0.0,0.24637454195936045
-9477.5,0.0029106408124480194,0.2463836957357377,0.0,0.2463836957357377
-9476.5,0.0029104870704832818,0.24638677057503253,0.0,0.24638677057503253
-9475.5,0.0052061704041418515,0.2004731039018611,0.0,0.2004731039018611
-9474.5,0.0044967233576106635,0.21466204483248486,0.0,0.21466204483248486
-9473.5,0.003480320828795787,0.23499009540878243,0.0,0.23499009540878243
-9472.5,0.00310353230839127,0.24252586581687272,0.0,0.24252586581687272
-9471.5,0.002975357385643787,0.24508936427182235,0.0,0.24508936427182235
-9470.5,0.002932228765404108,0.24595193667661594,0.0,0.24595193667661594
-9469.5,0.00291773831390464,0.24624174570660531,0.0,0.24624174570660531
-9468.5,0.002912871019499425,0.2463390915947096,0.0,0.2463390915947096
-9467.5,0.0029112362810496083,0.24637178636370594,0.0,0.24637178636370594
-9466.5,0.002910687275833913,0.24638276646801985,0.0,0.24638276646801985
-9465.5,0.002910502444572473,0.24638646309324866,0.0,0.24638646309324866
-9464.5,0.0029104401717212295,0.2463877085502735,0.0,0.2463877085502735
-9463.5,0.0029104195494553072,0.24638812099559196,0.0,0.24638812099559196
-9462.5,0.0618528449793451,-0.9324603876022038,0.0,-0.9324603876022038
-9461.5,0.04364709565118943,-0.5683454010390906,0.0,-0.5683454010390906
-9460.5,0.017546549606566535,-0.04633448014663256,0.0,-0.04633448014663256
-9459.5,0.007870132194331103,0.14719386809807603,0.0,0.14719386809807603
-9458.5,0.004578401391541699,0.2130284841538641,0.0,0.2130284841538641
-9457.5,0.0034707954689281975,0.23518060260613413,0.0,0.23518060260613413
-9456.5,0.003098653109972134,0.2426234497852554,0.0,0.2426234497852554
-9455.5,0.0029736427402976503,0.24512365717874507,0.0,0.24512365717874507
-9454.5,0.002931649689461069,0.2459635181954767,0.0,0.2459635181954767
-9453.5,0.0029175439281100527,0.24624563342249706,0.0,0.24624563342249706
-9452.5,0.0029128056909027097,0.24634039816664396,0.0,0.24634039816664396
-9451.5,0.0029112140228184044,0.24637223152833,0.0,0.24637223152833
-9450.5,0.002910679308190899,0.24638292582088014,0.0,0.24638292582088014
-9449.5,0.007501971093459045,0.15455709011551724,0.0,0.15455709011551724
-9448.5,0.006083051289521711,0.1829354861942639,0.0,0.1829354861942639
-9447.5,0.004050237525815529,0.22359176146838755,0.0,0.22359176146838755
-9446.5,0.003296657544525129,0.2386633610941955,0.0,0.2386633610941955
-9445.5,0.003040306846916597,0.24379037504636614,0.0,0.24379037504636614
-9444.5,0.0029540496273965395,0.2455155194367673,0.0,0.2455155194367673
-9443.5,0.0029250686253175346,0.24609513947834746,0.0,0.24609513947834746
-9442.5,0.002915333579097274,0.24628984040275262,0.0,0.24628984040275262
-9441.5,0.0029120629635032446,0.24635525271463318,0.0,0.24635525271463318
-9440.5,0.002910964617000126,0.24637721964469558,0.0,0.24637721964469558
-9439.5,0.0029105958600326967,0.24638459478404418,0.0,0.24638459478404418
-9438.5,0.07334940102119929,-1.1623915084392877,0.0,-1.1623915084392877
-9437.5,0.05158021145816799,-0.7270077171786616,0.0,-0.7270077171786616
-9436.5,0.020396073714198732,-0.10332496229927642,0.0,-0.10332496229927642
-9435.5,0.008835735836429518,0.1278817952561077,0.0,0.1278817952561077
-9434.5,0.0049031429682711595,0.20653365261927492,0.0,0.20653365261927492
-9433.5,0.003579897616376924,0.23299855965715963,0.0,0.23299855965715963
