year,stratospheric_AOD,ERF_sulfate,ERF_H2O,volcanic_ERF
-9499.5,0.0029104094649550463,0.2464048787665534,0.0,0.2464048787665534
-9498.5,0.0029104094649550463,0.2464048787665534,0.0,0.2464048787665534
-9497.5,0.0029104094649550463,0.2464048787665534,0.0,0.2464048787665534
-9496.5,0.0029104094649550463,0.2464048787665534,0.0,0.2464048787665534
-9495.5,0.03306803428887554,-0.3567476177118565,0.0,-0.3567476177118565
-9494.5,0.023748708279887676,-0.17036109753209924,0.0,-0.17036109753209924
-9493.5,0.010396945255091763,0.0966741629638191,0.0,0.0966741629638191
-9492.5,0.4130948213449727,-7.957283358833798,0.0,-7.957283358833798
-9491.5,0.3040773837878497,-5.776934607691341,0.0,-5.776934607691341
-9490.5,0.21854144554814614,-4.066215842897268,0.0,-4.066215842897268
-9489.5,0.10973521136704974,-1.8900911592753404,0.0,-1.8900911592753404
-9488.5,0.04035185139733145,-0.5024239598809745,0.0,-0.5024239598809745
-9487.5,0.015558203000747152,-0.006550991949288654,0.0,-0.006550991949288654
-9486.5,0.007162157030525266,0.16136992745514897,0.0,0.16136992745514897
-9485.5,0.00433876308934669,0.2178378062787206,0.0,0.2178378062787206
-9484.5,0.0033902147725241353,0.23680877261517164,0.0,0.23680877261517164
-9483.5,0.003071581155051566,0.24318144496462304,0.0,0.24318144496462304
-9482.5,0.002964548965391998,0.2453220887578144,0.0,0.2453220887578144
-9481.5,0.0029285952660449512,0.2460411627447553,0.0,0.2460411627447553
-9480.5,0.0029165179330901962,0.24628270940385044,0.0,0.24628270940385044
-9479.5,0.002912461267297354,0.24636384271970727,0.0,0.24636384271970727
-9478.5,0.002911098501266883,0.2463910980403167,0.0,0.2463910980403167
-9477.5,0.0029106408124480194,0.246400251816694,0.0,0.246400251816694
-9476.5,0.0029104870704832818,0.2464033266559887,0.0,0.2464033266559887
-9475.5,0.0052061704041418515,0.20048965998281731,0.0,0.20048965998281731
-9474.5,0.0044967233576106635,0.21467860091344107,0.0,0.21467860091344107
-9473.5,0.003480320828795787,0.23500665148973862,0.0,0.23500665148973862
-9472.5,0.00310353230839127,0.24254242189782896,0.0,0.24254242189782896
-9471.5,0.002975357385643787,0.24510592035277867,0.0,0.24510592035277867
-9470.5,0.002932228765404108,0.24596849275757224,0.0,0.24596849275757224
-9469.5,0.00291773831390464,0.24625830178756156,0.0,0.24625830178756156
-9468.5,0.002912871019499425,0.24635564767566587,0.0,0.24635564767566587
-9467.5,0.0029112362810496083,0.2463883424446622,0.0,0.2463883424446622
-9466.5,0.002910687275833913,0.2463993225489761,0.0,0.2463993225489761
-9465.5,0.002910502444572473,0.24640301917420493,0.0,0.24640301917420493
-9464.5,0.0029104401717212295,0.24640426463122977,0.0,0.24640426463122977
-9463.5,0.0029104195494553072,0.24640467707654823,0.0,0.24640467707654823
-9462.5,0.0618528449793451,-0.9324438315212475,0.0,-0.9324438315212475
-9461.5,0.04364709565118943,-0.5683288449581344,0.0,-0.5683288449581344
-9460.5,0.017546549606566535,-0.04631792406567631,0.0,-0.04631792406567631
-9459.5,0.007870132194331103,0.1472104241790323,0.0,0.1472104241790323
-9458.5,0.004578401391541699,0.21304504023482038,0.0,0.21304504023482038
-9457.5,0.0034707954689281975,0.23519715868709043,0.0,0.23519715868709043
-9456.5,0.003098653109972134,0.24264000586621168,0.0,0.24264000586621168
-9455.5,0.0029736427402976503,0.24514021325970137,0.0,0.24514021325970137
-9454.5,0.002931649689461069,0.24598007427643298,0.0,0.24598007427643298
-9453.5,0.0029175439281100527,0.24626218950345333,0.0,0.24626218950345333
-9452.5,0.0029128056909027097,0.24635695424760015,0.0,0.24635695424760015
-9451.5,0.0029112140228184044,0.24638878760928629,0.0,0.24638878760928629
-9450.5,0.002910679308190899,0.2463994819018364,0.0,0.2463994819018364
-9449.5,0.007501971093459045,0.1545736461964735,0.0,0.1545736461964735
-9448.5,0.006083051289521711,0.18295204227522013,0.0,0.18295204227522013
-9447.5,0.004050237525815529,0.22360831754934374,0.0,0.22360831754934374
-9446.5,0.003296657544525129,0.2386799171751518,0.0,0.2386799171751518
-9445.5,0.003040306846916597,0.24380693112732243,0.0,0.24380693112732243
-9444.5,0.0029540496273965395,0.2455320755177236,0.0,0.2455320755177236
-9443.5,0.0029250686253175346,0.24611169555930365,0.0,0.24611169555930365
-9442.5,0.002915333579097274,0.2463063964837089,0.0,0.2463063964837089
-9441.5,0.0029120629635032446,0.24637180879558948,0.0,0.24637180879558948
-9440.5,0.002910964617000126,0.2463937757256518,0.0,0.2463937757256518
-9439.5,0.0029105958600326967,0.24640115086500045,0.0,0.24640115086500045
-9438.5,0.07334940102119929,-1.162374952358331,0.0,-1.162374952358331
-9437.5,0.05158021145816799,-0.7269911610977053,0.0,-0.7269911610977053
-9436.5,0.020396073714198732,-0.1033084062183202,0.0,-0.1033084062183202
-9435.5,0.008835735836429518,0.12789835133706395,0.0,0.12789835133706395
-9434.5,0.0049031429682711595,0.20655020870023114,0.0,0.20655020870023114
-9433.5,0.003579897616376924,0.23301511573811584,0.0,0.23301511573811584
-9432.5,0.05833855208447025,-0.8621579736237507,0.0,-0.8621579736237507
-9431.5,0.04112864489063634,-0.5179598297470726,0.0,-0.5179598297470726
-9430.5,0.016639360280817767,-0.028174137550701018,0.0,-0.028174137550701018
-9429.5,0.007562631399479269,0.153360440076069,0.0,0.153360440076069
-9428.5,0.0044749851261026855,0.2151133655436006,0.0,0.2151133655436006
-9427.5,0.0034360511320964625,0.23589204542372508,0.0,0.23589204542372508
